nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Hatis,6,"5,0",3650,,"['Mediterránea', ' Española']",,"Calle Cardenal Cisneros, 25, 28010 Madrid España","['0', '0', '0', '0', '4']",
Pizza Pazza,142,"4,5",1442,"['3', '10']","['Italiana', ' Pizza', ' Comida rápida']","['Opciones vegetarianas', ' Opciones veganas']","Avenida Aviacion 73, 28044 Madrid España","['9', '2', '2', '37', '91']",
Restaurante Mareas Vivas,204,"4,0",1443,,"['Española', ' Mediterránea']",,"Calle Veneras 3, 28013 Madrid España","['16', '5', '18', '67', '62']",
Killer Sobo,69,"4,5",1444,"['10', '15']","['Japonesa', ' Asiática', ' Street food / Comida en la calle', ' Fusión japonesa']",['Opciones veganas'],"Calle Redondilla 7 La Latina, 28005 Madrid España","['2', '4', '1', '17', '41']",
Mesón Sidrería Arturo,105,"4,5",1445,,['Española'],,"Calle Del Mar De Bering, 9, 28033 Madrid España","['3', '3', '5', '42', '48']",
Casa Marco,204,"4,0",1468,"['48', '62']","['Italiana', ' Mediterránea', ' Romana', ' Del Lacio', ' Del centro de Italia', ' Europea']",['Opciones vegetarianas'],"Calle Gaztambide 8, 28015 Madrid España","['10', '5', '28', '72', '66']",
La Cúpula - Salón Japonés,3,"3,0",9217,"['24', '47']","['Japonesa', ' Internacional', ' Asiática', ' Fusión', ' Fusión japonesa']","['Cenas', ' Brunch']","Calle Fortuny 34, 28010 Madrid España","['0', '0', '0', '0', '1']",
Escalaz Burgers,20,"5,0",1469,"['10', '20']","['Americana', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle de San Bernardo, 53, 28015 Madrid España","['0', '0', '0', '0', '9']",
Trinchea,29,"5,0",1470,"['15', '35']","['Restaurante de carne', ' Mediterránea', ' Barbacoa', ' Asador', ' Fusión']","['Comidas', ' Cenas', ' Bebidas']","Calle De Campezo, 14, 28022 Madrid España","['0', '1', '0', '1', '24']",
Iztac,163,"4,0",3138,,['Mexicana'],,"Plaza de la Republica del Ecuador 4, 28016 Madrid España","['11', '20', '16', '33', '77']",
Bar-Restaurante GANGNAM,77,"4,5",1471,"['9', '25']","['Asiática', ' Coreana']","['Opciones vegetarianas', ' Opciones veganas']","Calle Pajaritos 13, 28007 Madrid España","['0', '0', '8', '28', '37']",
El Clásico,64,"4,5",1472,"['15', '40']","['Mediterránea', ' Española']",['Opciones vegetarianas'],"Calle Belisana 17, 28043 Madrid España","['1', '2', '1', '10', '32']",
Americo taberna latina,100,"4,5",1473,"['20', '35']","['Peruana', ' Latina', ' Española', ' Sudamericana']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle De Vergara 14 Plaza Los Ramales, 28013 Madrid España","['2', '0', '8', '21', '51']",
Taiko Sushi Bar,97,"4,0",1474,,"['Japonesa', ' Sushi', ' Asiática']",,"Avda Montecarmelo esq Avda Santuario de Valverde, 28049 Madrid España","['4', '0', '7', '46', '39']",
Gochü,197,"4,0",1490,"['20', '25']","['Fusión', ' Española']",['Opciones sin gluten'],"Calle Santa Engracia 141, 28003 Madrid España","['12', '13', '17', '53', '97']",
