nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Sidreria Casa Gelin,61,"3,5",5158,,['Española'],,"Esquina Con Breton de Los Herreros Calle Alonso Cano 22, 28003 Madrid España","['10', '6', '11', '10', '24']",
Don Pincho,32,"3,5",67,,"['Bar', ' Española', ' Pub']",,"Paseo Extremadura 19, 28921 Alcorcón España","['1', '4', '13', '5', '8']",
Plantamientos,3,"5,0",5160,,['Saludable'],,"Paseo De Santa María De La Cabeza, 41 Mercado Santa María De La Cabeza, 28045 Madrid España","['0', '0', '0', '0', '3']",
Pan y Mantequilla,5,"5,0",5181,,['Café'],,"Calle María De Maeztu, 116, local Pan y Mantequilla, Madrid España","['0', '0', '0', '1', '4']",
La Berbena,4,"5,0",5182,"['10', '30']","['Comida rápida', ' Mediterránea', ' Street food / Comida en la calle']",,"Calle De Las Huertas, 53, 28014 Madrid España","['0', '0', '0', '0', '4']",
Friends y Food,14,"4,0",5183,,"['Comidas', ' Desayuno', ' Cenas']",,"Calle Eduardo Morales 11, 28025 Madrid España","['0', '2', '2', '7', '3']",
Bar Restaurante La Taberna de Juan,4,"5,0",93,"['10', '10']",['Mediterránea'],"['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Avenida Leopoldo Calvo Sotelo Bustelo 6 detrás de la estación de Renfe de Pozuelo de Alarcón, 28224 Pozuelo de Alarcón España","['0', '0', '0', '1', '2']",
Spicy grill & pizza,5,"5,0",5184,"['4', '15']","['India', ' Turca', ' De Oriente Medio', ' Pakistaní', ' Árabe']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Costanilla de los Angeles 16 Near plaza santo domingo and metro opera and callao, 28013 Madrid España","['0', '0', '0', '1', '3']",
Restaurante Los Angeles,27,"4,0",5185,,['Española'],,"Calle Rodriguez San Pedro 36, 28015 Madrid España","['3', '1', '1', '12', '5']",
El Pico,73,"3,5",5186,,"['Española', ' Bar', ' Pub']",,"Divino Pastor, 12, 28004 Madrid España","['10', '4', '18', '21', '12']",
La Cúpula - Salón Japonés,3,"3,0",9216,"['24', '47']","['Japonesa', ' Internacional', ' Asiática', ' Fusión', ' Fusión japonesa']","['Cenas', ' Brunch']","Calle Fortuny 34, 28010 Madrid España","['0', '0', '0', '0', '1']",
400 Grados Pizza - Malasaña,3,"4,5",5210,"['10', '30']","['Italiana', ' Pizza', ' Mediterránea']","['Comidas', ' Cenas']","C. Manuela Malasaña, 3, 28004 Madrid España","['0', '0', '0', '1', '2']",
El Almacen De La Artesana Madrid,3,"5,0",5208,,"['Española', ' Argentina', ' Sudamericana']",,"Calle Numancia 2, 28039 Madrid España","['0', '0', '0', '0', '3']",
WOK SHANGHAI,33,"3,5",5211,"['8', '20']","['Japonesa', ' Sushi', ' Asiática', ' China', ' Española']","['Opciones vegetarianas', ' Opciones veganas']","Calle de Emilio Munoz, 35, 28037 Madrid España","['2', '1', '14', '10', '4']",
Bar Restaurante Ponzano,243,"3,5",5212,,['Europea'],,"Calle Ponzano 12, 28010 Madrid España","['41', '10', '55', '73', '45']",
Osadía Nikkei 14 & Sky Bar,16,"3,5",5213,,"['Bar', ' Café', ' Española', ' Fusión', ' Fusión japonesa']",,"Calle Gran Vía 14, 28013 Madrid España","['4', '0', '2', '1', '6']",
Menudeo,3,"4,5",5214,,['Española'],,"Calle Ortega y Gasset 68, 28006 Madrid España","['0', '0', '0', '1', '2']",
La veritá,37,"3,5",5237,"['10', '25']","['Italiana', ' Pizza', ' Mediterránea', ' Saludable']",['Comidas'],"Embajadores 181 b, 28045 Madrid España","['7', '3', '5', '8', '12']",
Salitre,20,"4,0",5238,,"['Mediterránea', ' Española']",,"Calle Lopez de Hoyos 10, 28006 Madrid España","['2', '0', '3', '5', '10']",
La Sidrina De Meller,3,"5,0",5239,,['Española'],,"Calle Raquel Meller 3, 28027 Madrid España","['0', '0', '0', '0', '3']",
Las Jarritas,67,"3,5",5240,"['2', '16']","['Bar', ' Española', ' Pub']","['Desayuno', ' Comidas', ' Cenas', ' Bebidas']","Calle Orense 39, 28020 Madrid España","['9', '4', '19', '15', '17']",
Napai,20,"3,5",85,,['Mediterránea'],,"Manuel De Falla, 3 Detrás de la Repsol, 28222 Majadahonda España","['4', '1', '1', '6', '8']",
La Marina,17,"3,5",55,,"['Española', ' Marisco', ' Mediterránea']",,"Avenida España, 8 Parada de Metrosur, Juan de la Cierva. A 50m, 28903 Getafe España","['1', '1', '3', '8', '3']",
Cor&Cor Alcorcón,6,"4,0",70,,['Italiana'],,"Av. de la Libertad, 2, 28924 Alcorcón España","['0', '0', '1', '4', '1']",
BoBar,4,"5,0",5263,"['5', '12']","['Mediterránea', ' Española']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Avenida de la Osa Mayor 105, 28023 Madrid España","['0', '0', '0', '0', '4']",
El Chingolo Pintxos y Raciones Estilo Gourmet,12,"4,5",5264,,['Española'],,"Calle Segovia 17, 28005 Madrid España","['0', '0', '1', '5', '5']",
La Bodeguita,10,"4,0",5265,,['Española'],,"Castrillo de Aza, 12, 28031 Madrid España","['1', '0', '1', '2', '4']",
VIPS,227,"3,5",5268,"['8', '15']","['Española', ' Americana']","['Opciones vegetarianas', ' Opciones veganas']","Calle Gran Vía, 65, 28013 Madrid España","['28', '17', '44', '47', '40']",
YuGa Bar,25,"3,5",5267,,['Española'],,"Calle Corazón de María, 57, 28002 Madrid España","['6', '0', '1', '7', '11']",
Estar en Babia,4,"5,0",5289,"['6', '30']",['Española'],,"Calle Padilla 54, 28006 Madrid España","['0', '0', '0', '0', '4']",
Restaurante Ajetreo,4,"4,5",5290,,"['Internacional', ' Mediterránea', ' Española']",,"Doctor Castelo 26, 28009 Madrid España","['0', '0', '1', '0', '3']",
Restaurante Casa Egido,14,"3,5",5291,,"['Mediterránea', ' Española']",,"Calle del General Lacy, 50, 28045 Madrid España","['1', '0', '3', '8', '2']",
Resturante Club Nautico,21,"4,0",5292,,['Española'],,"Km 22 de la M-505, 28292 Madrid España","['1', '3', '3', '4', '9']",
Black and Gold Irish Tavern,50,"3,5",5293,,"['Bar', ' Española', ' Pub']",,"Calle Cronos 10, 28037 Madrid España","['7', '2', '10', '10', '10']",
La Lonja,8,"4,0",5294,,['Española'],,"Sánchez Barcaiztegui, 19, 28007 Madrid España","['1', '0', '1', '1', '5']",
Tolezamar,7,"4,0",5315,,['Española'],,"Calle Ibiza 60 entregar en el BAR RESTAURANTE TOLEZAMAR, 28009 Madrid España","['0', '0', '0', '6', '1']",
Cervecería Jaén 2,12,"4,0",29,,"['Mediterránea', ' Española', ' Bar', ' Pub']",,"Calle del Olmo 5, 28821 Coslada España","['2', '0', '0', '3', '7']",
La Yapa Empanadas Argentinas,3,"4,5",5316,,['Reservas'],,"C/ Santa Isabel 5 Planta 1, 28012 Madrid España","['0', '0', '0', '1', '1']",
Cafe Figueroa,21,"4,0",5317,,['Café'],,"Augusto Figueroa, 17, 28004 Madrid España","['1', '1', '4', '5', '5']",
Cervecería La Mar,6,"4,0",30,,"['Desayuno', ' Comidas', ' Cenas']",,"Plaza del Mar Egeo 6 Esquina Océano Pacífico, 28821 Coslada España","['0', '1', '0', '2', '3']",
Mikkeller bar,18,"3,5",5318,,"['Bar', ' Pub']",,"Calle de la Luna 22, 28004 Madrid España","['2', '2', '5', '2', '3']",
Restaurante O Camiño,15,"3,5",5342,,"['Española', ' Mediterránea']",,"Budapest, 2, 28022 Madrid España","['1', '0', '3', '9', '2']",
Restaurante Magadan,6,"4,0",5343,,"['Peruana', ' Sudamericana']",,"C/ Manzanares 2 A, Madrid España","['0', '1', '0', '2', '1']",
Restaurante Salamanca,38,"3,5",72,,"['Mediterránea', ' Española']",,"Calle Príncipe Don Juan Carlos, 6, 28924 Alcorcón España","['4', '8', '4', '9', '12']",
VIPS Avenida America,6,"4,0",5344,,"['Desayuno', ' Comidas', ' Cenas']",,"Avenida de América, 2, 28028 Madrid España","['0', '0', '2', '1', '3']",
L'Arroz,14,"4,0",5345,,"['Mediterránea', ' Española']",,"Calle Alameda 6, 28014 Madrid España","['0', '0', '3', '4', '4']",
Alabardero Pozuelo,4,"4,5",96,,['Asador'],,"C. Benedicto XVI, 2, 28224 Pozuelo de Alarcón España","['0', '0', '1', '1', '2']",
La Haya,16,"3,5",73,,"['Mediterránea', ' Española', ' Bar', ' Pub']",,"Calle Oslo 11, 28922 Alcorcón España","['1', '3', '3', '3', '6']",
Degustazone,5,"5,0",5368,"['10', '20']",['Mediterránea'],['Opciones sin gluten'],"Calle de Colon 13, 28004 Madrid España","['0', '0', '0', '0', '5']",
Frutal Principe Pio,5,"5,0",5370,"['4', '8']",['Brunch'],,"CC Principe Pio Paseo de La Florida 2, 28008 Madrid España","['0', '0', '0', '1', '4']",
Take & Taste Mundo Selecto,6,"5,0",5369,"['3', '8']","['Internacional', ' Europea', ' Griega', ' Sueca', ' Italiana']","['Desayuno', ' Comidas']","Plaza Sta. Bárbara, 4, 28004 Madrid España","['0', '0', '0', '0', '5']",
Bar Fomento,10,"4,0",5372,,"['Española', ' Café', ' Comida rápida', ' Mediterránea', ' Saludable']",,"Calle Alfonso XII 60, 28014 Madrid España","['1', '0', '1', '3', '4']",
Bodega Santa Cecilia,16,"4,0",5373,"['5', '10']",['Mediterránea'],"['Desayuno', ' Brunch', ' Bebidas']","Calle Blasco de Garay 74 28015, 28015 Madrid España","['3', '0', '2', '2', '8']",
Oh Mandril,50,"3,5",5396,"['10', '20']","['Española', ' Pub con cerveza artesanal', ' Mediterránea']",['Cenas'],"Calle General Alvarez de Castro 21, 28010 Madrid España","['6', '6', '10', '6', '20']",
El Tizon,41,"3,0",5397,,"['Mediterránea', ' Española']",,"Calle Jaime El Conquistador 42, 28045 Madrid España","['9', '4', '9', '7', '11']",
Pryce Cafe,24,"3,5",5398,,['Española'],,"Paseo Doctor Vallejo Nagera 25, 28005 Madrid España","['4', '0', '3', '9', '8']",
La Tagliatella,44,"3,5",99,,['Italiana'],,"Calle Edgar Neville, S/N, 28223 Pozuelo de Alarcón España","['7', '3', '7', '19', '8']",
GO! Sushing Arturo Soria,9,"4,0",5399,"['12', '25']","['Japonesa', ' Sushi', ' Hawaiana']","['Comidas', ' Cenas', ' Bebidas']","Calle Lopez de Hoyos 261, 28043 Madrid España","['0', '1', '1', '3', '4']",
Tapa Española,12,"4,0",5400,"['3', '15']",['Española'],"['Comidas', ' Cenas', ' Bebidas', ' Brunch']","Calle Augusto Figueroa, #24B Mercado San Anton, Piso 2, Local 18, 28004 Madrid España","['1', '2', '0', '3', '4']",
La Taberna Manchega,5,"5,0",53,,,,"Calle de Clara Janes 4, 28919 Leganés España","['0', '0', '0', '0', '5']",
Cevicheria Chiquitete,4,"4,5",95,,"['Peruana', ' Sudamericana']",,"Pasaje de la Radio 4, 28100 Alcobendas España","['0', '0', '1', '0', '2']",
La Cachiterie,4,"4,5",5425,,"['Venezolana', ' Sudamericana']",,"Calle Montera 33, 28013 Madrid España","['0', '0', '1', '0', '3']",
Eggofre,11,"4,0",5426,,,,"Calle Mayor 26, 28013 Madrid España","['0', '0', '1', '2', '4']",
La Charla Chamberi,129,"3,5",5427,,"['Mediterránea', ' Española']",,"Calle de Santa Engracia 76, 28010 Madrid España","['37', '6', '14', '20', '46']",
La Mezza,17,"4,0",5428,,"['Libanesa', ' Mediterránea', ' De Oriente Medio']",,"Calle Hospital de Órbigo, 1 Las Tablas, 28050 Madrid España","['0', '0', '4', '8', '4']",
Shabby Chíc Bistro Albir,6,"4,0",88,"['5', '150']","['Española', ' Marisco', ' Mediterránea', ' Europea', ' Fusión']","['Comidas', ' Cenas', ' Bebidas']","Carrer Ruperto Chapí, 4, 03581 El Albir, L'Alfas del Pi España","['1', '0', '1', '0', '4']",
Al Oeste del Pisco,14,"4,0",77,,"['Mediterránea', ' Española']",,"Avenida las Retamas 80 82, 28922 Alcorcón España","['3', '0', '1', '0', '10']",
Toro Loco Grill,10,"4,0",5448,"['10', '15']","['Comida rápida', ' Americana', ' Fusión']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle General Dias de Polier 3, 28002 Madrid España","['0', '1', '2', '0', '6']",
El Azafran,10,"4,0",5449,,['Española'],,"Calle Castillo 19, 28010 Madrid España","['0', '0', '1', '6', '3']",
Crêpes & Shakes,25,"3,5",100,"['4', '9']",['Americana'],"['Comidas', ' Cenas', ' Brunch', ' Bebidas']","Avenida de Europa 2, 28224 Pozuelo de Alarcón España","['2', '7', '3', '3', '10']",
Gasteiz,26,"3,5",31,"['9', '28']","['Mediterránea', ' Española', ' Bar', ' Café', ' Pub', ' Saludable']",['Comidas'],"Plaza Mar Caribe, 7 Barrio del Puerto, 28821 Coslada España","['2', '2', '4', '12', '6']",
Dublín 98,3,"5,0",78,,"['Irlandesa', ' Pub con cerveza artesanal', ' Pub', ' Restaurantes de cerveza']",,"Calle Jaboneria 59, 28921 Alcorcón España","['0', '0', '0', '0', '2']",
Bar Alonso,4,"5,0",5471,,['Española'],,"Virgen Del Lluch 20, 28027 Madrid España","['0', '0', '0', '1', '3']",
Alquds,36,"3,5",5473,,"['Internacional', ' De Oriente Medio']",,"Calle de Chinchilla, 7, 28013 Madrid España","['3', '1', '5', '9', '7']",
Q78 Gastromezcal,10,"3,5",5474,,"['Mexicana', ' Latina', ' Española']",,"C. Villalar, Madrid, España, 628001 Madrid España","['1', '1', '0', '2', '4']",
BarRío,6,"4,0",5475,"['6', '30']",,,"Calle Segovia, 65, 28005 Madrid España","['1', '0', '0', '1', '2']",
Izumi Sushi,9,"4,0",5476,,"['Sushi', ' Japonesa', ' Bar', ' Asiática', ' Pub']",,"Calle Labajos, 4, 28034 Madrid España","['1', '0', '1', '2', '5']",
WashBar,3,"5,0",5477,,,,"Fernández de los Ríos, 55, 28015 Madrid España","['0', '0', '0', '0', '3']",
Wakü,19,"3,5",5495,"['7', '15']","['Americana', ' Venezolana', ' Sudamericana']","['Comidas', ' Cenas', ' Bebidas']","Avenida de Alberto Alcocer, 7, 28036 Madrid España","['3', '1', '3', '5', '7']",
Oveja Que Bala.....,8,"4,0",5496,,"['Española', ' Mediterránea']",,"Calle Agastia 72, 28043 Madrid España","['0', '0', '1', '5', '2']",
Sapore Di Sicilia,3,"4,5",5497,,['Italiana'],,"Calle de la Virgen de Lourdes 18 Restaurante Siciliano, 28027 Madrid España","['0', '0', '0', '1', '1']",
Labarrit@,6,"4,5",79,,"['Desayuno', ' Comidas', ' Cenas']",,"Calle de Pablo Picasso 38, 28922 Alcorcón España","['0', '0', '1', '1', '4']",
Tienda COVAP Madrid,9,"4,5",5498,,"['Española', ' Mediterránea']",,"Calle Raimundo Fernandez Villaverde, 51, 28003 Madrid España","['0', '0', '1', '2', '6']",
EL 70,50,"3,5",5499,"['10', '30']",['Española'],"['Comidas', ' Brunch', ' Abierto hasta tarde', ' Bebidas', ' Cenas']","Avda. Machupichu, 19, 28043 Madrid España","['9', '6', '6', '11', '18']",
NdelT,7,"4,5",5500,,,,"Calle Tabernillas 15, 28005 Madrid España","['0', '0', '1', '3', '3']",
Marisqueria Norte Sur,149,"3,0",5522,,"['Marisco', ' Española', ' Mediterránea']",,"Calle del General Pardiñas 71, 28006 Madrid España","['29', '20', '30', '24', '40']",
Meson El Capricho,15,"3,5",80,,"['Española', ' Café', ' Mediterránea']",,"Calle Doñana No 5, 28924 Alcorcón España","['2', '0', '2', '7', '4']",
BAR RESTAURANTE NUEVO APOLO,31,"3,5",5524,,"['Peruana', ' Sudamericana']",,"Calle Doctor Cortezo N. 15, 28012 Madrid España","['3', '1', '8', '4', '9']",
Cervecería Narvi Los Gallegos,5,"4,0",5523,,,,"Av. de Logroño, 118, 28042 Madrid España","['0', '0', '1', '1', '2']",
Fun Falafel,18,"3,5",5526,,['De Oriente Medio'],,"Calle Jacometrezo 7, 28013 Madrid España","['2', '2', '1', '7', '4']",
Sí quiero! Taberna,10,"4,0",5527,"['3', '20']",['Española'],"['Desayuno', ' Comidas', ' Cenas']","C/ Bravo Murillo 10, 28015 Madrid España","['0', '0', '0', '9', '1']",
El Cafe de los Artistas,8,"4,5",5525,,['Española'],,"Plaza de Colon, Madrid España","['0', '0', '0', '2', '4']",
La Terraza by La Zamorana,20,"3,5",5547,"['10', '25']","['Mediterránea', ' Española', ' Saludable', ' Bares para comer', ' Restaurantes de cerveza']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle Vallehermoso 26, 28015 Madrid España","['4', '3', '1', '2', '8']",
DiBocca Nassica,135,"3,5",60,"['15', '20']",['Italiana'],"['Comidas', ' Cenas']","Avenida Rio Guadalquivir, 15, 28906 Getafe España","['21', '16', '34', '31', '30']",
Casapan,3,"5,0",5548,,,,"Plaza del Tres Olivos 7 Calle peatonal, local 9, 28034 Madrid España","['0', '0', '0', '0', '3']",
Cakareo,2,"5,0",5550,,['Mediterránea'],,"Raimundo Fernandez Villaverde 50, 28003 Madrid España","['0', '0', '0', '0', '2']",
Alcotán,2,"5,0",5551,,['Española'],,"Calle Claudio Coello, 96, 28006 Madrid España","['0', '0', '0', '0', '2']",
El Fogon de Abad,19,"4,0",5549,,['Española'],,"Calle Infanta Mercedes 105, 28020 Madrid España","['4', '0', '1', '2', '11']",
Toledano,7,"4,0",5552,,['Mediterránea'],,"Avenida Monforte de Lemos 123, 28029 Madrid España","['1', '0', '1', '0', '5']",
El Dos De Palma. ,2,"5,0",5569,,['Española'],,"C.De La Palma., 28004 Madrid España","['0', '0', '0', '0', '2']",
CervecerÍa 100 Montaditos'La Sureña.,2,"5,0",5572,,['Española'],,"C.De Carretas, 28012 Madrid España","['0', '0', '0', '0', '2']",
CervecerÍa 100 Montaditos.,2,"5,0",5571,,['Española'],,"Calle.De Fuencarral 145, 28010 Madrid España","['0', '0', '0', '0', '2']",
CervecerÍa El Metro De Manuela Malasaña ,2,"5,0",5569,,['Española'],,"C.De La Palma., 28004 Madrid España","['0', '0', '0', '0', '2']",
La Esquina Caribeña,24,"4,0",5574,,"['Latina', ' Española']",,"Calle Almansa 14, 28039 Madrid España","['2', '2', '1', '9', '10']",
Taberna Taurina Don Carmelo,19,"4,0",5575,,['Española'],,"Conde De Peñalver, 88, 28006 Madrid España","['4', '0', '1', '2', '9']",
El Cruze,3,"4,5",34,"['10', '100']","['Española', ' Restaurante de carne', ' Comedor', ' Vinoteca']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Av Fuentemar 16, 28823 Coslada España","['0', '0', '0', '1', '2']",
Tribeca Restaurant,11,"4,0",5602,,"['Mediterránea', ' Española']",,"Calle Orense 38 Rafael Hoteles Orense, 28020 Madrid España","['0', '1', '1', '4', '3']",
La Pausa Bar,14,"4,0",5603,"['5', '35']","['Restaurante de carne', ' Mediterránea', ' Española', ' Saludable', ' Restaurantes de cerveza']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle del Principe de Vergara 197, 28002 Madrid España","['2', '1', '1', '4', '6']",
Arrocería Restaurante Avergar,14,"4,0",5604,,['Española'],,"Artistas, 4, 28020 Madrid España","['1', '1', '1', '5', '6']",
Armonico,16,"3,5",92,,"['Mediterránea', ' Europea', ' Española']",,"ARMONICO Calle de Goya 1, 28222 Majadahonda España","['1', '2', '3', '7', '3']",
Apolo,2,"5,0",82,,['Bar'],,"Calle Avila, 3., 28925 Alcorcón España","['0', '0', '0', '0', '2']",
Rama Bar,2,"5,0",5605,,['Española'],,"C. De Tembleque 95, 28024 Madrid España","['0', '0', '0', '0', '2']",
El rincon de uceda,4,"4,5",5607,"['4', '26']",['Internacional'],"['Desayuno', ' Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle de La Infanta Mercedes 61, 28020 Madrid España","['0', '1', '0', '0', '3']",
Atlas Obrador,9,"4,0",5626,"['2', '70']","['Marroquí', ' Mediterránea']","['Comidas', ' Cenas']","Calle Suero de Quinones 22, 28002 Madrid España","['2', '0', '0', '3', '2']",
Garum,23,"4,0",5627,,"['Española', ' Mediterránea']",,"Calle General Diaz Porlier 105, 28006 Madrid España","['2', '1', '4', '7', '8']",
Chicama Madrid,2,"5,0",5628,,"['Peruana', ' Fusión', ' Sudamericana']",,"Calle De Ponzano 51, 28003 Madrid España","['0', '0', '0', '0', '2']",
Freaks Burger Santa Teresa,12,"3,5",5629,,['Comida rápida'],,"Calle de Sta. Teresa, 12, 28004 Madrid España","['3', '0', '1', '2', '6']",
Bar El 89,33,"3,5",5630,,"['Española', ' Mediterránea']",,"Calle de Ponzano 89, 28003 Madrid España","['10', '0', '4', '8', '10']",
Dahe Sushi,13,"3,5",85,,"['Japonesa', ' Sushi', ' Asiática']",,"Av. las Retamas, 68, 28922 Alcorcón España","['3', '0', '0', '6', '4']",
El Gueridon,14,"4,0",75,,['Española'],,"Carretera Mostoles-Villaviciosa de Odon, 28931 Móstoles España","['2', '1', '1', '2', '6']",
Fang,43,"3,5",5651,,"['China', ' Japonesa', ' Sushi', ' Asiática']",,"Calle Embajadores 186, 28045 Madrid España","['10', '1', '5', '10', '17']",
Bartolomeo Kitchen,3,"5,0",5652,,['Española'],,"General Pardiñas,36 Ayala, 28001 Madrid España","['0', '0', '0', '0', '3']",
Surena Coslada,18,"3,5",36,,"['Bar', ' Española', ' Comida rápida']",,"Barrio Del Puerto Plaza Mar Caribe No 2, 28821 Coslada España","['3', '1', '2', '4', '8']",
Poké No,3,"5,0",5653,"['10', '30']",['Saludable'],"['Comidas', ' Cenas']","Calle Lope de Rueda 40, 28009 Madrid España","['0', '0', '0', '0', '3']",
LiliBistro Food&Wine,8,"3,5",5654,,['Española'],,"Calle Hortaleza 30, 28004 Madrid España","['0', '2', '0', '1', '0']",
La Torre de Cuatro Vientos,4,"4,5",5655,,"['Europea', ' Española']",,"Aeropuerto de Cuatro Vientos Edificio Terminal, 28054 Madrid España","['0', '0', '0', '3', '1']",
Perillo,5,"5,0",5657,,['Española'],,"Calle General Moscardo 39, 28660 Madrid España","['0', '0', '0', '0', '5']",
La Tasquita de Pereira,49,"3,5",5676,,"['Española', ' Mediterránea']",,"Calle Clara del Rey, 17, 28002 Madrid España","['5', '8', '13', '10', '11']",
Bar Longares,4,"4,5",5677,,"['Desayuno', ' Comidas', ' Cenas']",,"Calle Longares 5, 28022 Madrid España","['0', '0', '1', '0', '3']",
Chia Chill Café,2,"5,0",5678,"['5', '14']","['Café', ' Internacional', ' Española', ' Contemporánea', ' Alimentos medicinales']","['Desayuno', ' Comidas', ' Brunch', ' Bebidas']","Calle Conde Duque 14 Anteriormente Jack Percoca, 28015 Madrid España","['0', '0', '0', '0', '2']",
"La Tagliatella C.C. Nassica, Getafe",122,"3,0",64,"['16', '18']","['Italiana', ' Pizza', ' Mediterránea', ' Europea']",['Opciones vegetarianas'],"Calle Rio Guadalquivir 13 CC Nassica, 28906 Getafe España","['27', '17', '19', '21', '32']",
Burger King,2,"5,0",5679,,,,"Calle del Thaler, 12, 28054 Madrid España","['0', '0', '0', '0', '2']",
Falafeleria Santa Isabel,2,"5,0",5680,,"['Mediterránea', ' Street food / Comida en la calle', ' De Oriente Medio', ' Israelí', ' Árabe']",,"Calle Santa Isabel 28, 28012 Madrid España","['0', '0', '0', '0', '2']",
Wok 4 You III,22,"3,5",5681,"['2', '9']","['Japonesa', ' China', ' Sushi', ' Asiática']","['Opciones vegetarianas', ' Opciones veganas']","Calle Hortaleza 72, 28004 Madrid España","['3', '2', '5', '3', '7']",
Dulces Sabores,10,"4,0",5703,"['3', '41']",['Española'],,"Calle de la Cañada 17, Local Exterior k, Mercado de Moratalaz., 28030 Madrid España","['2', '0', '0', '1', '7']",
Tapaterapia,38,"3,5",5702,,"['Bar', ' Española', ' Pub']",,"Calle Santiago de Compostela 34, 28034 Madrid España","['5', '6', '4', '14', '9']",
Il Quattro Coslada,13,"3,5",37,,['Pizza'],,"Calle Venezuela, 27, 28823 Coslada España","['4', '0', '0', '2', '6']",
Kichi Restaurant,25,"3,5",5705,,"['Japonesa', ' Sushi', ' Asiática']",,"Calle Ulises 26, 28043 Madrid España","['4', '1', '4', '10', '5']",
Los Moscas,4,"4,5",5704,,,,"Avenida de la Osa Mayor, 28023 Madrid España","['0', '0', '1', '0', '3']",
La nueva Batea,13,"4,0",5706,"['10', '50']","['Marisco', ' Mediterránea', ' Española', ' Saludable', ' Europea']","['Comidas', ' Cenas']","Calle Bordadores 2 Bordadores Street, 28013 Madrid España","['2', '0', '0', '2', '5']",
Soto Verde,30,"4,0",5707,,['Café'],,"Calle Agustin de Betancourt 5, 28003 Madrid España","['5', '1', '2', '7', '11']",
Burghetto,2,"5,0",5727,,['Americana'],,"Calle Barcelo 6 Local 312, 28004 Madrid España","['0', '0', '0', '0', '2']",
El Cocodrilo Madrid,3,"5,0",5728,,"['Francesa', ' Americana', ' Bar', ' Española', ' Pub', ' Bares para comer']",,"Calle Corazón De María, 57, 28002 Madrid España","['0', '0', '0', '0', '3']",
Canaimagrill,2,"5,0",5729,"['10', '200']","['Restaurante de carne', ' Latina', ' Barbacoa', ' Española', ' Venezolana', ' Sudamericana']","['Comidas', ' Cenas']","Calle Delmira Deagustini 02 Local 18, 28021 Madrid España","['0', '0', '0', '0', '2']",
Cerveceria Colón,5,"4,0",97,,['Española'],,"Calle de San Andres 2, 28220 Majadahonda España","['0', '0', '1', '2', '2']",
Miladama,46,"3,5",5730,,"['Mediterránea', ' Española', ' Bar', ' Pub']",,"Guzmán El Bueno, 77, 28015 Madrid España","['5', '9', '5', '15', '12']",
Arroceria Imperial,8,"4,0",5731,"['41', '47']","['Mediterránea', ' Española']",['Reservas'],"Calle Ventura de La Vega 13, 28014 Madrid España","['0', '0', '2', '1', '0']",
Quini,2,"5,0",5732,,"['Asiática', ' Coreana']",,"Calle Delicias 21, 28045 Madrid España","['0', '0', '0', '0', '2']",
Bombilla Gastrobar Fuencarral,17,"3,5",5752,"['5', '20']","['Mediterránea', ' Española']","['Comidas', ' Cenas']","Calle Fuencarral 143, 28010 Madrid España","['3', '2', '2', '0', '8']",
Kukakuka,17,"3,5",5751,,['Japonesa'],,"Calle de Orense 12 Bajos, 28020 Madrid España","['5', '1', '0', '0', '10']",
Mocca Cafe,6,"4,0",65,,"['Mediterránea', ' Española']",,"Calle de Toledo 1, 28901 Getafe España","['1', '0', '1', '1', '3']",
Wok-Parrilla-Buffet Kokoxaxa Plaza Norte 2,240,"3,0",74,,"['China', ' Comida rápida', ' Española', ' Asiática', ' Internacional', ' Sushi']",,"Avenida Juncal 24, 28703 San Sebastián de los Reyes España","['43', '19', '67', '58', '42']",
sancks & bread,3,"5,0",5755,"['4', '20']","['Japonesa', ' Turca', ' Griega', ' Fusión']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle De Guzman El Bueno 15, 28015 Madrid España","['0', '0', '0', '0', '3']",
NAP Goya,24,"3,5",5754,,"['Italiana', ' Pizza']",,"Calle General Díaz Porlier 1, 28001 Madrid España","['4', '2', '3', '6', '6']",
Bar Cafeteria Maype,9,"4,0",5753,,"['Española', ' Mediterránea']",,"Calle de Sebastián Herrera 1º A, 28035 Madrid España","['1', '0', '1', '2', '5']",
La fuente,18,"3,5",5780,"['5', '15']","['Mediterránea', ' Española', ' Europea', ' Portuguesa']","['Desayuno', ' Cenas']","Calle Guillermo Pingarron, 9, 28038 Madrid España","['4', '2', '1', '3', '8']",
