Casa Jacinto;269;4,5;320;['24', '35'];['Mediterránea', ' Española'];['Opciones vegetarianas', ' Opciones sin gluten'];Calle Reloj 20, 28013 Madrid España;['3', '1', '17', '67', '114'];
Soy Kitchen;280;4,5;321;['50', '80'];['Asiática'];['Opciones sin gluten'];Calle de Zurbano, 59, 28010 Madrid España;['6', '11', '25', '69', '144'];
Namaste Nepal;294;4,5;4;['2', '14'];['India', ' Asiática', ' Nepalí'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle del Dr Calero, 54, 28220 Majadahonda España;['0', '5', '14', '29', '222'];
De Maria Opera;619;4,5;322;nan;['Mediterránea', ' Europea', ' Española', ' Argentina'];nan;Plaza Isabel II 8, 28013 Madrid España;['10', '12', '31', '112', '177'];
PICCOLO DIAVOLO;687;4,5;346;['10', '24'];['Italiana', ' Pizza', ' Mediterránea', ' Europea', ' Napolitana', ' De Campania', ' Siciliana', ' Del sur de Italia'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Fucar, 11, 28014 Madrid España;['17', '18', '41', '120', '230'];
Jarritus Madrid Cerveceria;555;4,5;347;['30', '60'];['Mediterránea', ' Española', ' Europea'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Alcala 233 Calle Alcalá, 233, 28028 Madrid España;['12', '15', '31', '85', '184'];
Mamúa Café Bar. Specialty coffee;129;4,5;348;['2', '10'];['Café', ' Europea'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Plaza Cascorro 7 in Front of The Statiu, 28005 Madrid España;['0', '0', '4', '11', '49'];
marmitón;89;5;349;['30', '45'];['Mediterránea', ' Europea', ' Española', ' Contemporánea', ' Fusión'];['Opciones sin gluten'];Calle de las Aguas, 6, 28005 Madrid España;['1', '2', '0', '7', '64'];
Matador;229;4,5;350;nan;['Bar', ' Mediterránea', ' Europea', ' Española'];nan;Calle de la Cruz 39, 28012 Madrid España;['8', '0', '7', '31', '59'];
Casa González;527;4,5;351;nan;['Española'];nan;Calle del León 12, 28014 Madrid España;['14', '7', '20', '106', '148'];
Restaurante La Castafiore;631;4;352;['43', '46'];['Mediterránea', ' Europea', ' Española'];['Opciones veganas', ' Opciones sin gluten', ' Opciones vegetarianas'];C/ Marqués de Monasterio, 5, 28004 Madrid España;['22', '19', '60', '151', '276'];
A vÁnvera;443;4,5;373;['19', '39'];['Italiana', ' Mediterránea', ' Europea', ' Romana', ' Del Lacio', ' Siciliana', ' Del centro de Italia', ' Del sur de Italia'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Zurbano 85, 28003 Madrid España;['9', '9', '37', '126', '203'];
La Ancha;563;4,5;374;nan;['Mediterránea', ' Europea', ' Española'];nan;Calle Principe de Vergara 204, 28002 Madrid España;['9', '6', '47', '232', '231'];
La Pinta y la Viña;173;4,5;375;nan;['Mediterránea', ' Española', ' Vinoteca'];nan;Calle Infanta Mercedes 61 Infanta Mercedes 61, entrada por calle Lino, 28020 Madrid España;['2', '1', '5', '34', '110'];
El Alambique Taberna;364;4,5;376;nan;['Mediterránea', ' Española'];nan;Calle Fucar 7, 28014 Madrid España;['4', '2', '15', '60', '139'];
Ochenta Grados Malasaña;1434;4;378;nan;['Bar', ' Comida rápida', ' Contemporánea', ' Mediterránea', ' Española'];nan;Calle de Manuela Malasaña, 10, 28004 Madrid España;['39', '46', '149', '451', '546'];
Cazorla;362;4,5;377;nan;['Mediterránea', ' Española'];nan;Calle del Gral. Pardiñas 80, 28001 Madrid España;['8', '7', '22', '125', '150'];
The Market Madrid;500;4,5;382;['25', '50'];['Mediterránea', ' Europea', ' Española', ' Internacional'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];C. Clara del Rey, 24, 28002 Madrid España;['1', '2', '12', '98', '310'];
Restaurante Órdago;251;4,5;403;nan;['Española', ' Saludable'];nan;Calle de Sancho Dávila, 15 LOC, 28028 Madrid España;['3', '4', '11', '72', '140'];
Restaurante Luxury;546;4,5;404;['20', '40'];['China', ' Japonesa', ' Asiática', ' Fusión', ' Sushi'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle sandoval,18, 28010 Madrid España;['16', '14', '45', '135', '262'];
